jp,fr,occurrences,origin,example
リアン,Rian,350,etymology,リアンヘッド・青 / リアンハット・青
赤原礼装,Akahara,340,en-patch,赤原礼装・頭：剣赤 / 赤原礼装・頭：剣Ｆ赤
シャラン,Sharan,323,etymology,シャランヘッド・青 / シャランＦヘッド・青
キャロル,Carol,315,etymology,キャロルバンド・黒 / キャロルＦバンド・黒
アルマ,Alma,312,etymology,アルマヘッド・黒 / アルマハット・黒
アクラ,Akura,310,monster,アクラヘルム / アクラヘルム黄
レアル,Real,300,etymology,レアルヘッド・白 / レアルＦヘッド・白
メレティ,Meleti,300,etymology,メレティヘッド・白 / メレティＦヘッド・白
テクスト,Texte,300,etymology,テクストヘッド・紫 / テクストＦヘッド・紫
ファラン,Faran,300,etymology,ファランヘルム・白 / ファランＦヘルム・白
リゲリア,Ligeria,300,etymology,リゲリアヘルム・白 / リゲリアＦヘルム・白
スリート,Grésil,300,francised,スリートヘッド・黄 / スリートＦヘッド・黄
エディオ,Edio,300,etymology,エディオヘルム・青 / エディオＦヘルム・青
シエナ,Sienne,300,etymology,シエナヘルム・銀 / シエナＦヘルム・銀
レイスト,Reist,300,etymology,レイストヘッド・黒 / レイストＦヘッド・黒
クロース,Étoffe,300,francised,クロースヘッド・赤 / クロースＦヘッド・赤
ゴルゴン,Gorgone,300,etymology,ゴルゴンヘッド・黒 / ゴルゴンＦヘッド・黒
アステリ,Asteri,300,etymology,アステリピアス・白 / アステリＦピアス・白
エヴォル,Evol,300,etymology,エヴォルヘッド・白 / エヴォルＦヘッド・白
ワンダレ,Wandale,300,etymology,ワンダレヘッド・青 / ワンダレＦヘッド・青
オユン,Oyun,280,etymology,オユンヘルム・青 / オユンＦヘルム・青
ステノ,Stheno,268,etymology,ステノヘルム・橙 / ステノＦヘルム・橙
イクス,Ix,260,etymology,イクスピアス・白 / イクスＦピアス・白
フェルム,Ferm,260,etymology,フェルムヘッド・黒 / フェルムＦヘッド・黒
ゴルト,Gold,260,etymology,ゴルトヘルム・赤 / ゴルトＦヘルム・赤
アリスト,Aristo,260,etymology,アリストヘッド・青 / アリストＦヘッド・青
バーニー,Barney,260,etymology,バーニーバンド・黒 / バーニーＦバンド・黒
オメット,Omet,260,etymology,オメットヘルム・黒 / オメットＦヘルム・黒
セクティ,Secti,260,etymology,セクティヘルム・黒 / セクティＦヘルム・黒
セレナ,Serena,260,etymology,セレナヘッド・紫 / セレナＦヘッド・紫
シェリフ,Sherif,260,etymology,シェリフヘッド・茶 / シェリフＦヘッド・茶
ナーガ,Naga,260,etymology,ナーガヘッド・青 / ナーガＦヘッド・青
バンデ,Bande,260,etymology,バンデヘッド・青 / バンデＦヘッド・青
レグヌム,Regnum,260,etymology,レグヌムヘッド・白 / レグヌムＦヘッド・白
マリン,Marin,260,etymology,マリンヘッド・青 / マリンＦヘッド・青
ルフレ,Rufre,260,etymology,ルフレヘッド・青 / ルフレＦヘッド・青
ガニア,Gania,260,etymology,ガニアヘッド・赤 / ガニアＦヘッド・赤
ダスク,Crépuscule,260,francised,ダスクヘッド・赤 / ダスクＦヘッド・赤
アミスタ,Amista,260,etymology,アミスタヘルム・黒 / アミスタＦヘルム・黒
ペリフ,Perif,260,etymology,ペリフヘルム・青 / ペリフＦヘルム・青
メトリー,Metri,240,etymology,メトリーヘルム・青 / メトリーＦヘルム・青
アミロ,Amiro,240,etymology,アミロヘルム・青 / アミロＦヘルム・青
アッシュ,Cendre,240,francised,アッシュヘッド・赤 / アッシュＦヘッド・赤
カーマイン,Carmin,240,etymology,カーマインヘッド黒 / カーマインＦヘッド黒
リュウ,Ryu,240,etymology,リュウヘッド・赤 / リュウＦヘッド・赤
サジタリオ,Sagittaire,240,etymology,サジタリオヘッド赤 / サジタリオＦヘッド赤
ニーナ,Nina,240,etymology,ニーナヘッド・赤 / ニーナＦヘッド・赤
ガリトス,Garitos,225,etymology,ガリトスヘッド・茶 / ガリトスＦヘッド・茶
カウチュ,Kauchu,225,etymology,カウチュピアス・青 / カウチュＦピアス・青
ゾデック,Zodec,225,etymology,ゾデックヘルム・青 / ゾデックＦヘルム・青
グロリア,Gloria,225,etymology,グロリアヘルム・金 / グロリアＦヘルム・金
マゴス,Magos,225,etymology,マゴスヘッド・黄 / マゴスＦヘッド・黄
ピクス,Pyx,225,etymology,ピクスヘッド・緑 / ピクスＦヘッド・緑
ダンテ,Dante,216,etymology,ダンテヘッド・赤 / ダンテＦヘッド・赤
レディ,Dame,216,francised,レディヘッド・白 / レディＦヘッド・白
クレール,Clair,195,etymology,クレールヘッド・紫 / クレールＦヘッド・紫
マイスト,Maist,195,etymology,マイストヘッド・紅 / マイストＦヘッド・紅
カエシス,Cayssis,195,etymology,カエシスヘルム赤 / カエシスＦヘルム赤
ゲルト,Gert,195,etymology,ゲルトヘルム・黒 / ゲルトＦヘルム・黒
オナブル,Onable,195,etymology,オナブルヘルム・赤 / オナブルＦヘルム・赤
ザイラ,Zaira,185,etymology,ザイラヘルム・緑 / ザイラＦヘルム・緑
コムラダ,Comrada,180,en-patch,コムラダヘルム【赤】 / コムラダヘルム【青】
ディヴォル,Divol,180,etymology,ディヴォルヘッド緑 / ディヴォルＦヘッド緑
マギサ,Magisa,175,etymology,マギサヘッド・赤 / マギサヘッド・黒
ゲノム,Génome,162,francised,ゲノムヘッド・緑 / ゲノムＦヘッド・緑
ウィザー,Wither,150,etymology,ウィザーハット・赤 / ウィザーハット・黒
ブリゼ,Blize,145,en-patch,ブリゼヘルム / ブリゼＦヘルム
ミク,Miku,136,etymology,ミクヘッド / ミクＦヘッド
フルフル,Khezu,120,monster,フルフルヘルム / フルフルキャップ
ザザミ,Hermitaur,120,en-patch,ザザミヘルム / ザザミキャップ
ブランゴ,Blango,120,monster,ブランゴヘルム / ブランゴキャップ
ブリス,Félicité,120,francised,ブリスヘッド【白】 / ブリスヘッド【青】
ヒプノ,Hypnoc,110,en-patch,ヒプノヘルム / ヒプノキャップ
レウス,Rathalos,105,en-patch,レウスヘルム / レウスキャップ
ハルド,Harudo,100,en-patch,ハルドヘルム / ハルドＦヘルム
トリド,Torid,100,en-patch,トリドヘルム / トリドＦヘルム
レックス,Tigrex,95,en-patch,レックスヘルム / レックスキャップ
ゲリョス,Gypceros,90,monster,ゲリョスヘルム / ゲリョスキャップ
ガレオス,Cephalos,90,monster,ガレオスヘルム / ガレオスキャップ
ディアブロ,Diablos,90,en-patch,ディアブロヘルム / ディアブロキャップ
グラビド,Gravios,90,en-patch,グラビドヘルム / グラビドキャップ
ギザミ,Ceanataur,90,en-patch,ギザミヘルム / ギザミキャップ
ゴゴ,Gogomoa,90,en-patch,ゴゴヘルム / ゴゴＦヘルム
タンドレス,Tandress,90,en-patch,タンドレスヘッド / タンドレスＦヘッド
ガスラ,Gasura,90,en-patch,ガスラヘルム / ガスラＦヘルム
レイジ,Rage,85,francised,レイジヘルム / レイジＦヘルム
ランページ,Déchaînement,85,francised,ランページヘルム / ランページＦヘルム
ブレイズ,Brasier,85,francised,ブレイズヘルム / ブレイズＦヘルム
ガウス,Gauss,85,etymology,ガウスFZヘルム / ガウスFZマスク
ウェーバ,Weber,85,etymology,ウェーバFZヘルム / ウェーバFZマスク
ギルバート,Gilbert,85,etymology,ギルバートFZヘルム / ギルバートFZマスク
ブライト,Éclat,85,francised,ブライトヘルム / ブライトＦヘルム
ジュアリ,Juari,85,etymology,ジュアリヘルム / ジュアリＦヘルム
ティンク,Tinku,85,en-patch,ティンクヘルム / ティンクＦヘルム
ゲネポス,Genprey,80,monster,ゲネポスヘルム / ゲネポスキャップ
イーオス,Ioprey,80,monster,イーオスヘルム / イーオスキャップ
バサル,Basarios,80,en-patch,バサルヘルム / バサルキャップ
コンガ,Conga,80,monster,コンガヘルム / コンガキャップ
ラヴァ,Lavasioth,80,en-patch,ラヴァヘルム / ラヴァキャップ
ベル,Beru,80,en-patch,ベルヘルム / ベルキャップ
パリア,Paria,80,en-patch,パリアヘルム / パリアＦヘルム
ラヴィ,Raviente,80,en-patch,ラヴィヘッド / ラヴィＦヘッド
グレン,Guren,80,en-patch,グレンヘッド / グレンＦヘッド
ザムザ,Zamuza,80,en-patch,ザムザヘルム / ザムザＦヘルム
クアル,Kuaru,80,en-patch,クアルヘルム / クアルＦヘルム
クオイズ,Quoiz,80,en-patch,クオイズヘッド / クオイズＦヘッド
カライス,Kalais,80,en-patch,カライスヘッド / カライスＦヘッド
ルケーゼ,Lucchese,80,en-patch,ルケーゼヘッド / ルケーゼＦヘッド
オリクト,Orykto,80,en-patch,オリクトＧヘルム / オリクトGFヘルム
マアデン,Maaden,80,en-patch,マアデンヘルム / マアデンＦヘルム
シエロ,Cielo,80,en-patch,シエロヘッド / シエロＦヘッド
アイルー,Felyne,80,en-patch,アイルーヘッド / アイルーＦヘッド
アウラ,,80,unresolved,アウラヘッド / アウラＦヘッド
アスモ,Asumo,80,en-patch,アスモヘッド / アスモＦヘッド
ロッカ,Rokka,80,en-patch,ロッカヘルム / ロッカＦヘルム
ルーチェ,Ruche,80,en-patch,ルーチェヘルム / ルーチェＦヘルム
シュイ,Shui,80,en-patch,シュイヘルム / シュイＦヘルム
トラス,Truss,80,etymology,トラスベスト青 / トラスＦベスト青
クック,Kut-Ku,78,en-patch,クックＳヘルム / クックＳキャップ
ストレガ,Strega,75,en-patch,ストレガヘルム / ストレガキャップ
リオデュオ,Rath,75,en-patch,リオデュオヘルム / リオデュオキャップ
アージェ,Arge,75,etymology,アージェヘッド / アージェＦヘッド
カマレラ,Camarera,75,etymology,カマレラヘッド / カマレラＦヘッド
メテネラ,Metenera,75,etymology,メテネラヘッド / メテネラＦヘッド
マンドラ,Mandora,75,en-patch,マンドラヘルム / マンドラＦヘルム
アオノコ,Aonoko,75,en-patch,アオノコヘルム / アオノコＦヘルム
ジェス,Jess,75,en-patch,ジェスヘルム / ジェスＦヘルム
デリヴ,,75,unresolved,デリヴヘルム / デリヴＦヘルム
アサーク,Asaku,75,en-patch,アサークヘルム / アサークＦヘルム
ニスル,Nisuru,75,en-patch,ニスルヘルム / ニスルＦヘルム
ペルセ,Perce,75,en-patch,ペルセヘルム / ペルセＦヘルム
デゾルト,Desordre,75,en-patch,デゾルトヘルム / デゾルトＦヘルム
ハーゼ,Harze,75,en-patch,ハーゼバンド / ハーゼＦバンド
シャテム,Shatemu,75,en-patch,シャテムバンド / シャテムＦバンド
ヘヴリア,Hevria,75,en-patch,ヘヴリアバンド / ヘヴリアＦバンド
ティルル,Tiuru,75,en-patch,ティルルバンド / ティルルＦバンド
オルロジュ,Orloj,75,en-patch,オルロジュバンド / オルロジュＦバンド
ヨルティ,Yoruti,75,en-patch,ヨルティヘルム / ヨルティＦヘルム
ハラガン,Haragan,75,en-patch,ハラガンヘルム / ハラガンＦヘルム
ライオス,Rios,75,en-patch,ライオスヘルム / ライオスＦヘルム
ボニト,,75,unresolved,ボニトヘルム / ボニトＦヘルム
メイリダ,Meirida,75,en-patch,メイリダヘルム / メイリダＦヘルム
アブヤド,Abuyado,75,en-patch,アブヤドヘルム / アブヤドＦヘルム
しましま,Shimashima,75,en-patch,しましまヘッド / しましまＦヘッド
ディナト,Dinato,75,en-patch,ディナトヘッド / ディナトＦヘッド
