section,index,jp,repo_fr,capcom_fr,kind
dat/items/name,116,LV3 拡散弾,Fragmentation III,Fragmen. III,abbreviation
dat/items/name,28,いにしえの秘薬,Potion ancestrale,Potion ancest.,abbreviation
dat/items/name,196,アオキノコ,Champi bleu,Champignon bleu,abbreviation
dat/items/name,45,シビレ生肉,Viande paralysante,Viande paral.,abbreviation
dat/items/name,85,シビレ罠,Piège électrochoc,Piège électroch.,abbreviation
dat/items/name,242,ドスキレアジ,G.poissaiguiseur,G. poissaiguis.,abbreviation
dat/items/name,248,ドス大食いマグロ,G.thon glouton,G. thon glouton,abbreviation
dat/items/name,445,上質なねじれた角,Corne majestueuse,Corne majest.,abbreviation
dat/items/name,958,上質な毛皮,Pelage de qualité,Pel. de qualité,abbreviation
dat/items/name,194,厳選キノコ,Champi parfait,Champignon parf.,abbreviation
dat/items/name,573,古龍の血,Sang drag ancien,Sang dr. ancien,abbreviation
dat/items/name,93,大タル爆弾,Grande bombe baril,G. bombe baril,abbreviation
dat/items/name,14223,天廻龍の光虹翼,Ailette Shagaru Magala,Ailette S. Magala,abbreviation
dat/items/name,14226,天廻龍の剛角,Vouge Shagaru Magala,Vouge S. Magala,abbreviation
dat/items/name,14220,天廻龍の厚鱗,Éclat Shagaru Magala,Éclat S. Magala,abbreviation
dat/items/name,14224,天廻龍の天鱗,Mante Shagaru Magala,Mante S. Magala,abbreviation
dat/items/name,14221,天廻龍の重殻,Cortex Shagaru Magala,Cortex S. Magala,abbreviation
dat/items/name,14225,天廻龍の靭尾,Fouet Shagaru Magala,Fouet S. Magala,abbreviation
dat/items/name,14723,天空の龍神玉,Sphere-dragon ciel,Sphère-dragon Ciel,abbreviation
dat/items/name,435,岩竜の堅殻,Cuirasse Basarios,Cuir. Basarios,abbreviation
dat/items/name,975,岩竜の涙,Larmes Basarios,Larme Basarios,abbreviation
dat/items/name,434,岩竜の甲殻,Cara. Basarios,Carap. Basarios,abbreviation
dat/items/name,666,支給用大タル爆弾,Grd bombe baril X,G. bombe baril X,abbreviation
dat/items/name,923,春夜鯉,Carpe de printemps,Carpe de print.,abbreviation
dat/items/name,26,漢方薬,Remède d'herbes,Remède d'herbe,abbreviation
dat/items/name,409,火竜の上鱗,Eca. Rathalos+,Éc. Rathalos+,abbreviation
dat/items/name,413,火竜の堅殻,Cuirasse Rathalos,Cuirasse Ratha.,abbreviation
dat/items/name,412,火竜の甲殻,Cara. Rathalos,Carap. Rathalos,abbreviation
dat/items/name,408,火竜の鱗,Eca. Rathalos,Écaille Rathalos,abbreviation
dat/items/name,195,熟成キノコ,Champignon unique,Champi. unique,abbreviation
dat/items/name,193,特産キノコ,Champi spécial,Champignon spéc.,abbreviation
dat/items/name,449,角竜の堅甲,Vertèbres Diablos+,Vertèb. Diablos+,abbreviation
dat/items/name,446,角竜の甲殻,Cara. Diablos,Carapace Diablos,abbreviation
dat/items/name,986,轟竜の上鱗,Eca. Tigrex+,Écaille Tigrex+,abbreviation
dat/items/name,987,轟竜の甲殻,Cara. Tigrex,Carapace Tigrex,abbreviation
dat/items/name,985,轟竜の鱗,Eca. Tigrex,Écaille Tigrex,abbreviation
