jp,fr,source
LV1 回復弾,Guérison,capcom-official:mhrise-sunbreak
LV1 徹甲榴弾,Antiblindage,capcom-official:mhrise-sunbreak
LV1 拡散弾,Fragmentation,capcom-official:mhrise-sunbreak
LV1 放散弾,Shrapnel,capcom-official:mhrise-sunbreak
LV1 散弾,Grenaille,capcom-official:mhrise-sunbreak
LV1 毒弾,Toxique,capcom-official:mhrise-sunbreak
LV1 減気弾,Léthargique,capcom-official:mhrise-sunbreak
LV1 睡眠弾,Somnifère,capcom-official:mhrise-sunbreak
LV1 貫通弾,Perforant,capcom-official:mhrise-sunbreak
LV1 通常弾,Normal,capcom-official:mhrise-sunbreak
LV1 麻痺弾,Paralysant,capcom-official:mhrise-sunbreak
LV2 回復弾,Guérison II,capcom-official:mhrise-sunbreak
LV2 徹甲榴弾,Antiblindage II,capcom-official:mhrise-sunbreak
LV2 拡散弾,Fragmentation II,capcom-official:mhrise-sunbreak
LV2 放散弾,Shrapnel II,capcom-official:mhrise-sunbreak
LV2 散弾,Grenaille II,capcom-official:mhrise-sunbreak
LV2 毒弾,Toxique II,capcom-official:mhrise-sunbreak
LV2 減気弾,Léthargique II,capcom-official:mhrise-sunbreak
LV2 火薬粉,Poudre canon II,capcom-official:mhrise-sunbreak
LV2 睡眠弾,Somnifère II,capcom-official:mhrise-sunbreak
LV2 貫通弾,Perforant II,capcom-official:mhrise-sunbreak
LV2 通常弾,Normal II,capcom-official:mhrise-sunbreak
LV2 麻痺弾,Paralysant II,capcom-official:mhrise-sunbreak
LV3 徹甲榴弾,Antiblindage III,capcom-official:mhrise-sunbreak
LV3 拡散弾,Fragmen. III,capcom-official:mhrise-sunbreak
LV3 放散弾,Shrapnel III,capcom-official:mhrise-sunbreak
LV3 散弾,Grenaille III,capcom-official:mhrise-sunbreak
LV3 火薬粉,Poudre canon III,capcom-official:mhrise-sunbreak
LV3 貫通弾,Perforant III,capcom-official:mhrise-sunbreak
LV3 通常弾,Normal III,capcom-official:mhrise-sunbreak
いにしえの巨龍骨,Artéfact de dragon,capcom-official:mhrise-sunbreak
いにしえの秘薬,Potion ancest.,capcom-official:mhrise-sunbreak
いにしえの金貨,Pièce antique,capcom-official:mhrise-sunbreak
