jp,fr,category,source
アクラ・ジェビア,Akura Jebia,exclusive,mogapédia
アクラ・ヴァシム,Akura Vashimu,exclusive,mogapédia
アルガノス,Arganoth,exclusive,mogapédia
ディスフィロア,Dhisufiroa,exclusive,mogapédia
ディオレックス,Diorex,exclusive,mogapédia
エルゼリオン,Elzelion,exclusive,mogapédia
ゴルガノス,Golganoth,exclusive,mogapédia
ゴウガルフ,Gougarf,exclusive,mogapédia
ヴォルガノス,Lavasioth,exclusive,mogapédia
ロロ・ゴウガルフ,Lolo Gougarf,exclusive,mogapédia
レイ・ゴウガルフ,Ray Gougarf,exclusive,mogapédia
シャンティエン,Shantien,exclusive,mogapédia
ヴァルサブロス,Varusaburosu,exclusive,mogapédia
アビオルグ,Abiorugu,standard,international/glossary-r6
アカムトルム,Akantor,standard,international/glossary-r6
アマツマガツチ,Amatsu,standard,international/glossary-r6
アノルパティス,Anorupatisu,standard,international/glossary-r6
ガウシカ,Anteka,standard,international/glossary-r6
アプケロス,Apceros,standard,international/glossary-r6
アプトノス,Aptonoth,standard,international/glossary-r6
ベリオロス,Barioth,standard,international/glossary-r6
バルラガル,Baruragaru,standard,international/glossary-r6
バサルモス,Basarios,standard,international/glossary-r6
ベルキュロス,Berukyurosu,standard,international/glossary-r6
ブランゴ,Blango,standard,international/glossary-r6
ドドブランゴ,Blangonga,standard,international/glossary-r6
ボガバドルム,Bogabadorumu,standard,international/glossary-r6
ブラキディオス,Brachydios,standard,international/glossary-r6
ドスファンゴ,Bulldrome,standard,international/glossary-r6
ブルファンゴ,Bullfango,standard,international/glossary-r6
ブルック,Burukku,standard,international/glossary-r6
ガミザミ,Ceanataur,standard,international/glossary-r6
ドスガレオス,Cephadrome,standard,international/glossary-r6
ガレオス,Cephalos,standard,international/glossary-r6
オオナズチ,Chameleos,standard,international/glossary-r6
コンガ,Conga,standard,international/glossary-r6
ババコンガ,Congalala,standard,international/glossary-r6
ダイミョウザザミ,Daimyo Hermitaur,standard,international/glossary-r6
イビルジョー,Deviljho,standard,international/glossary-r6
ディアブロス,Diablos,standard,international/glossary-r6
ドラギュロス,Doragyurosu,standard,international/glossary-r6
デュラガウア,Dyuragaua,standard,international/glossary-r6
エルペ,Erupe,standard,international/glossary-r6
エスピナス,Espinas,standard,international/glossary-r6
ファルノック,Farunokku,standard,international/glossary-r6
ミラボレアス,Fatalis,standard,international/glossary-r6
フォロクルル,Forokururu,standard,international/glossary-r6
ガルバダオラ,Garuba Daora,standard,international/glossary-r6
ガスラバズラ,Gasurabazura,standard,international/glossary-r6
ドスゲネポス,Gendrome,standard,international/glossary-r6
ゲネポス,Genprey,standard,international/glossary-r6
ギアオルグ,Giaorugu,standard,international/glossary-r6
ギアノス,Giaprey,standard,international/glossary-r6
ゴゴモア,Gogomoa,standard,international/glossary-r6
ゴア・マガラ,Gore Magala,standard,international/glossary-r6
グラビモス,Gravios,standard,international/glossary-r6
グァンゾルム,Guanzorumu,standard,international/glossary-r6
グレアドモス,Gureadomosu,standard,international/glossary-r6
グレンゼブル,Gurenzeburu,standard,international/glossary-r6
ゲリョス,Gypceros,standard,international/glossary-r6
ハルドメルグ,Harudomerugu,standard,international/glossary-r6
ヤオザミ,Hermitaur,standard,international/glossary-r6
カンタロス,Hornetaur,standard,international/glossary-r6
ヒプノック,Hypnocatrice,standard,international/glossary-r6
ヒュジキキ,Hyujikiki,standard,international/glossary-r6
イナガミ,Inagami,standard,international/glossary-r6
ドスイーオス,Iodrome,standard,international/glossary-r6
イーオス,Ioprey,standard,international/glossary-r6
カム・オルガロン,Kamu Orugaron,standard,international/glossary-r6
ケルビ,Kelbi,standard,international/glossary-r6
ケオアルボル,Keoaruboru,standard,international/glossary-r6
フルフル,Khezu,standard,international/glossary-r6
キングチャチャブー,King Shakalaka,standard,international/glossary-r6
キリン,Kirin,standard,international/glossary-r6
クアルセプス,Kuarusepusu,standard,international/glossary-r6
クシャルダオラ,Kushala Daora,standard,international/glossary-r6
クスバミ,Kusubami,standard,international/glossary-r6
ラオシャンロン,Lao-Shan Lung,standard,international/glossary-r6
ナナ・テスカトリ,Lunastra,standard,international/glossary-r6
メラルー,Melynx,standard,international/glossary-r6
メラギナス,Meraginasu,standard,international/glossary-r6
ミドガロン,Midogaron,standard,international/glossary-r6
モノブロス,Monoblos,standard,international/glossary-r6
モス,Mosswine,standard,international/glossary-r6
ナルガクルガ,Nargacuga,standard,international/glossary-r6
ノノ・オルガロン,Nono Orugaron,standard,international/glossary-r6
ノノ・オルガロン,Nono Orugaron,standard,international/glossary-r6
オディバトラス,Odibatorasu,standard,international/glossary-r6
パリアプリア,Pariapuria,standard,international/glossary-r6
ガノトトス,Plesioth,standard,international/glossary-r6
ポボルバルム,Poborubarumu,standard,international/glossary-r6
ポカラ,Pokara,standard,international/glossary-r6
ポカラドン,Pokaradon,standard,international/glossary-r6
ポポ,Popo,standard,international/glossary-r6
ラージャン,Rajang,standard,international/glossary-r6
リオレウス,Rathalos,standard,international/glossary-r6
リオレイア,Rathian,standard,international/glossary-r6
ラヴィエンテ,Raviente,standard,international/glossary-r6
レビディオラ,Rebidiora,standard,international/glossary-r6
ガブラス,Remobra,standard,international/glossary-r6
ルコディオラ,Rukodiora,standard,international/glossary-r6
セルレギオス,Seregios,standard,international/glossary-r6
シャガルマガラ,Shagaru Magala,standard,international/glossary-r6
チャチャブー,Shakalaka,standard,international/glossary-r6
シェンガオレン,Shen Gaoren,standard,international/glossary-r6
ショウグンギザミ,Shogun Ceanataur,standard,international/glossary-r6
タイクンザムザ,Taikun Zamuza,standard,international/glossary-r6
テオ・テスカトル,Teostra,standard,international/glossary-r6
ティガレックス,Tigrex,standard,international/glossary-r6
トア・テスカトラ,Toa Tesukatora,standard,international/glossary-r6
トリドクレス,Toridcless,standard,international/glossary-r6
ウラガンキン,Uragaan,standard,international/glossary-r6
ドスランポス,Velocidrome,standard,international/glossary-r6
ランポス,Velociprey,standard,international/glossary-r6
ランゴスタ,Vespoid,standard,international/glossary-r6
ヴォージャン,Voljang,standard,international/glossary-r6
ヤマクライ,Yama Kurai,standard,international/glossary-r6
ヤマツカミ,Yama Tsukami,standard,international/glossary-r6
イャンガルルガ,Yian Garuga,standard,international/glossary-r6
イャンクック,Yian Kut-Ku,standard,international/glossary-r6
ゼナセリス,Zenaserisu,standard,international/glossary-r6
ゼルレウス,Zerureusu,standard,international/glossary-r6
ジンオウガ,Zinogre,standard,international/glossary-r6
ディアブロス亜種,Diablos noir,subspecies,mogapédia
エスピナス希少種,Espinas cendreuse,subspecies,mogapédia
エスピナス亜種,Espinas de feu,subspecies,mogapédia
グラビモス亜種,Gravios noir,subspecies,mogapédia
ゲリョス亜種,Gypceros violet,subspecies,mogapédia
ヒプノック繁殖期,Hypnocatrice saison des amours,subspecies,mogapédia
フルフル亜種,Khezu rouge,subspecies,mogapédia
ラオシャンロン亜種,Lao-Shan Lung cendré,subspecies,mogapédia
ヴォルガノス亜種,Lavasioth rouge,subspecies,mogapédia
モノブロス亜種,Monoblos blanc,subspecies,mogapédia
ガノトトス亜種,Plesioth vert,subspecies,mogapédia
リオレウス希少種,Rathalos argenté,subspecies,mogapédia
リオレウス亜種,Rathalos azur,subspecies,mogapédia
リオレイア希少種,Rathian dorée,subspecies,mogapédia
リオレイア亜種,Rathian rose,subspecies,mogapédia
イャンクック亜種,Yian Kut-Ku bleu,subspecies,mogapédia
ジンオウガ亜種,Zinogre stygien,subspecies,mogapédia
