location,source,target
0x178780@mhfpac.bin,Common Actions,Common Actions
0x178790@mhfpac.bin,Menu Controls,Menu Controls
0x1787a0@mhfpac.bin,Chat,Chat
0x1787b0@mhfpac.bin,Sword & Shield,Sword & Shield
0x1787c0@mhfpac.bin,Dual Swords,Dual Swords
0x1787d0@mhfpac.bin,Great Sword,Great Sword
0x1787e0@mhfpac.bin,Long Sword,Long Sword
0x1787f0@mhfpac.bin,Hammer,Hammer
0x178800@mhfpac.bin,Hunting Horn,Hunting Horn
0x178810@mhfpac.bin,Lance,Lance
0x178820@mhfpac.bin,Gunlance,Gunlance
0x178830@mhfpac.bin,Switch Axe F,Switch Axe F
0x178840@mhfpac.bin,Tonfa,Tonfa
0x178850@mhfpac.bin,Magnet Spike 1,Magnet Spike 1
0x178860@mhfpac.bin,Magnet Spike 2,Magnet Spike 2
0x178870@mhfpac.bin,Bowgun,Bowgun
0x178880@mhfpac.bin,Bow,Bow
