index,source,target
0,装備無し,
1,レザーライトメイル,Cotte Cuir
2,チェーンメイル,Cotte Chainmail
3,ハンターメイル,Cotte Hunter's
4,ハンターレジスト,Veste Hunter's
5,ボーンメイル,Cotte Os
6,ボーンレジスト,Veste Os
7,ランポスメイル,Cotte Velociprey
8,ランポスレジスト,Veste Velociprey
9,バトルメイル,Cotte Bataille
10,バトルレジスト,Veste Bataille
11,ランゴメイル,Cotte Vespoid
12,ランゴレジスト,Veste Vespoid
13,タロスメイル,Cotte Hornetaur
14,タロスレジスト,Veste Hornetaur
15,ハイメタメイル,
16,ハイメタレジスト,
17,ゲネポスメイル,Cotte Genprey
18,ゲネポスレジスト,Veste Genprey
19,クックメイル,Cotte Kut-Ku
20,クックレジスト,Veste Kut-Ku
21,イーオスメイル,Cotte Ioprey
22,イーオスレジスト,Veste Ioprey
23,ゲリョスメイル,Cotte Gypceros
24,ゲリョスレジスト,Veste Gypceros
25,ガレオスメイル,Cotte Cephalos
26,ガレオスレジスト,Veste Cephalos
27,スティールメイル,Cotte Acier
28,レイアメイル,Cotte Rathian
29,レイアレジスト,Veste Rathian
30,フルフルメイル,Cotte Khezu
31,フルフルレジスト,Veste Khezu
32,レウスメイル,Cotte Rathalos
33,レウスレジスト,Veste Rathalos
34,ガノスメイル,Cotte Plesioth
35,ガノスレジスト,Veste Plesioth
36,キングロブスタシェル,
37,キングロブスタスキン,
38,バサルメイル,Cotte Basarios
39,バサルレジスト,Veste Basarios
40,ディアブロメイル,Cotte Diablos
41,ディアブロレジスト,Veste Diablos
42,モノブロスメイル,Cotte Monoblos
43,モノブロスレジスト,Veste Monoblos
44,グラビドメイル,Cotte Gravios
45,グラビドレジスト,Veste Gravios
46,クロオビメイル,
47,モスブレスト,
48,メルホアトロンコ,
49,マカルパペプラム,
50,ビストロベスト,
51,ランポスーツボディ,
52,ゲネポスーツボディ,
53,イーオスーツボディ,
54,忍の装束・陽,
55,忍の装束・陰,
56,ガーディアンスーツ,Combinaison Gardien
57,ガーディアンベスト,Gilet Gardien
58,ヘルパーベスト,Gilet Assistant
59,ヒーラーベスト,Gilet Guérisseur
60,ガルルガメイル,Cotte Garuga
61,ガルルガレジスト,Veste Garuga
62,暁丸【胴当て】,
63,曙丸【胴当て】,
64,凛【胸当て】,
65,艶【胸当て】,
66,ドラゴンハイド,
67,ドラゴンスキン,
68,レザーライトＵメイル,Cotte Cuir U
69,チェーンＵメイル,Cotte Chainmail U
70,ハンターＵメイル,Cotte Hunter's U
71,ハンターＵレジスト,Veste Hunter's U
72,ボーンＵメイル,Cotte Os U
73,ボーンＵレジスト,Veste Os U
74,ギアノスメイル,Cotte Giaprey
75,ギアノスレジスト,Veste Giaprey
76,バトルＵメイル,Cotte Bataille U
77,バトルＵレジスト,Veste Bataille U
78,ランゴＵメイル,Cotte Vespoid U
79,ランゴＵレジスト,Veste Vespoid U
80,タロスＵメイル,Cotte Hornetaur U
81,タロスＵレジスト,Veste Hornetaur U
82,ハイメタＵメイル,
83,ハイメタＵレジスト,
84,ゲネポスＵメイル,Cotte Genprey U
85,ゲネポスＵレジスト,Veste Genprey U
86,クックＵメイル,Cotte Kut-Ku U
87,クックＵレジスト,Veste Kut-Ku U
88,イーオスＵメイル,Cotte Ioprey U
89,イーオスＵレジスト,Veste Ioprey U
90,ゲリョスＵメイル,Cotte Gypceros U
91,ゲリョスＵレジスト,Veste Gypceros U
92,ガレオスＵメイル,Cotte Cephalos U
93,ガレオスＵレジスト,Veste Cephalos U
94,スティールＵメイル,Cotte Acier U
95,リオハートメイル,Cotte Rath
96,リオハートレジスト,Veste Rath
97,フルフルＵメイル,Cotte Khezu U
98,フルフルＵレジスト,Veste Khezu U
99,リオソウルメイル,Cotte Rath
100,リオソウルレジスト,Veste Rath
101,ガノスＵメイル,Cotte Plesioth U
102,ガノスＵレジスト,Veste Plesioth U
103,バサルＵメイル,Cotte Basarios U
104,バサルＵレジスト,Veste Basarios U
105,ディアブロＵメイル,Cotte Diablos U
106,ディアブロＵレジスト,Veste Diablos U
107,モノデビルメイル,Cotte Monodevil
108,モノデビルレジスト,Veste Monodevil
109,グラビドＵメイル,Cotte Gravios U
110,グラビドＵレジスト,Veste Gravios U
111,忍の装束・空,
112,忍の装束・海,
113,ガーディアンＵスーツ,Combinaison Gardien U
114,ガーディアンＵベスト,Gilet Gardien U
115,ヘルパーＵベスト,Gilet Assistant U
116,ヒーラーＵベスト,Gilet Guérisseur U
117,暁丸・皇【胴当て】,
118,曙丸・皇【胴当て】,
119,凛・皇【胸当て】,
120,艶・皇【胸当て】,
121,ミラバルカンハイド,
122,ミラバルカンスキン,
123,ゴールドルナメイル,
124,ゴールドルナレジスト,
125,シルバーソルメイル,
126,シルバーソルレジスト,
127,レザーライトＳメイル,Cotte Cuir S
128,チェーンＳメイル,Cotte Chainmail S
129,ハンターＳメイル,Cotte Hunter's S
130,ハンターＳレジスト,Veste Hunter's S
131,ボーンＳメイル,Cotte Os S
132,ボーンＳレジスト,Veste Os S
133,ランポスＳメイル,Cotte Velociprey S
134,ランポスＳレジスト,Veste Velociprey S
135,バトルＳメイル,Cotte Bataille S
136,バトルＳレジスト,Veste Bataille S
137,ランゴＳメイル,Cotte Vespoid S
138,ランゴＳレジスト,Veste Vespoid S
139,タロスＳメイル,Cotte Hornetaur S
140,タロスＳレジスト,Veste Hornetaur S
141,ハイメタＳメイル,
142,ハイメタＳレジスト,
143,ゲネポスＳメイル,Cotte Genprey S
144,ゲネポスＳレジスト,Veste Genprey S
145,クックＳメイル,Cotte Kut-Ku S
146,クックＳレジスト,Veste Kut-Ku S
147,イーオスＳメイル,Cotte Ioprey S
148,イーオスＳレジスト,Veste Ioprey S
149,ゲリョスＳメイル,Cotte Gypceros S
150,ゲリョスＳレジスト,Veste Gypceros S
151,ガレオスＳメイル,Cotte Cephalos S
152,ガレオスＳレジスト,Veste Cephalos S
153,スティールＳメイル,Cotte Acier S
154,レイアＳメイル,Cotte Rathian S
155,レイアＳレジスト,Veste Rathian S
156,フルフルＳメイル,Cotte Khezu S
157,フルフルＳレジスト,Veste Khezu S
158,レウスＳメイル,Cotte Rathalos S
159,レウスＳレジスト,Veste Rathalos S
160,ガノスＳメイル,Cotte Plesioth S
161,ガノスＳレジスト,Veste Plesioth S
162,バサルＳメイル,Cotte Basarios S
163,バサルＳレジスト,Veste Basarios S
164,ディアブロＳメイル,Cotte Diablos S
165,ディアブロＳレジスト,Veste Diablos S
166,モノブロスＳメイル,Cotte Monoblos S
167,モノブロスＳレジスト,Veste Monoblos S
168,グラビドＳメイル,Cotte Gravios S
169,グラビドＳレジスト,Veste Gravios S
170,忍の装束・天,
171,忍の装束・地,
172,ギルドガードスーツ紅,Combinaison Guilde cramoisie
173,ギルドガードベスト紅,Gilet Guilde cramoisi
174,ギルドガードスーツ紅,Combinaison Guilde cramoisie
175,ギルドガードベスト紅,Gilet Guilde cramoisi
176,暁丸・覇【胴当て】,
177,曙丸・覇【胴当て】,
178,凛・覇【胸当て】,
179,艶・覇【胸当て】,
180,ドラゴンＳハイド,
181,ドラゴンＳスキン,
182,ザザミメイル,Cotte Hermitaur
183,ザザミレジスト,Veste Hermitaur
184,ザザミＵメイル,Cotte Hermitaur U
185,ザザミＵレジスト,Veste Hermitaur U
186,ザザミＳメイル,Cotte Hermitaur S
187,ザザミＳレジスト,Veste Hermitaur S
188,コンガメイル,Cotte Conga
189,コンガレジスト,Veste Conga
190,コンガＵメイル,Cotte Conga U
191,コンガＵレジスト,Veste Conga U
192,コンガＳメイル,Cotte Conga S
193,コンガＳレジスト,Veste Conga S
194,ブランゴメイル,Cotte Blango
195,ブランゴレジスト,Veste Blango
196,ブランゴＵメイル,Cotte Blango U
197,ブランゴＵレジスト,Veste Blango U
198,ブランゴＳメイル,Cotte Blango S
199,ブランゴＳレジスト,Veste Blango S
200,ギザミメイル,Cotte Ceanataur
201,ギザミレジスト,Veste Ceanataur
202,ギザミＵメイル,Cotte Ceanataur U
203,ギザミＵレジスト,Veste Ceanataur U
204,ギザミＳメイル,Cotte Ceanataur S
205,ギザミＳレジスト,Veste Ceanataur S
206,キリンベスト,Gilet Kirin
207,キリンケープ,
208,キリンＳベスト,Gilet Kirin S
209,キリンＳケープ,
210,クシャナディール,
211,クシャナバダル,
212,ミヅハ【胸当て】,
213,トヨタマ【胸当て】,
214,エンプレスメイル,Cotte Impératrice
215,エンプレスレジスト,Veste Impératrice
216,金剛【胴当て】,
217,不動【胴当て】,
218,カイザーメイル,
219,カイザーレジスト,
220,夜叉【羽衣】,
221,修羅【羽衣】,
222,金色ノ羽織,
223,黒子ノ装束,
224,ミラルーツハイド,
225,ミラルーツスキン,
226,クロオビＳメイル,
227,ギアノスーツボディ,
228,あかねこ服Ｆスーツ,
229,ガブラスーツボディ,
230,ギルドナイトスーツ,Combinaison Guilde
231,ギルドナイトベスト,Gilet Guilde
232,メイドベスト,Gilet Soubrette
233,プライベートベスト,
234,狩人Ｔシャツ,
235,ダミー,
236,ギルドガードスーツ蒼,Combinaison Guilde azur
237,ギルドガードベスト蒼,Gilet Guilde azur
238,ギルドガードスーツ蒼,Combinaison Guilde azur
239,ギルドガードベスト蒼,Gilet Guilde azur
240,Ｆボディ00,
241,Ｆボディ01,
242,ギルドヒーローメイル,
243,ヒプノメイル,Cotte Hypnoc
244,ヒプノレジスト,Veste Hypnoc
245,ヒプノＵメイル,Cotte Hypnoc U
246,ヒプノＵレジスト,Veste Hypnoc U
247,ラヴァメイル,Cotte Lavasioth
248,ラヴァレジスト,Veste Lavasioth
249,ラヴァＳメイル,Cotte Lavasioth S
