index,source,target
0,装備無し,
1,レザーライトヘルム,Heaume Cuir
2,チェーンヘルム,Heaume Chainmail
3,ハンターヘルム,Heaume Hunter's
4,ハンターキャップ,Casquette Hunter's
5,ボーンヘルム,Heaume Os
6,ボーンキャップ,Casquette Os
7,ランポスヘルム,Heaume Velociprey
8,ランポスキャップ,Casquette Velociprey
9,バトルヘルム,Heaume Bataille
10,バトルキャップ,Casquette Bataille
11,ランゴヘルム,Heaume Vespoid
12,ランゴキャップ,Casquette Vespoid
13,タロスヘルム,Heaume Hornetaur
14,タロスキャップ,Casquette Hornetaur
15,ハイメタヘルム,
16,ハイメタキャップ,
17,ゲネポスヘルム,Heaume Genprey
18,ゲネポスキャップ,Casquette Genprey
19,イーオスヘルム,Heaume Ioprey
20,イーオスキャップ,Casquette Ioprey
21,ゲリョスヘルム,Heaume Gypceros
22,ゲリョスキャップ,Casquette Gypceros
23,ガレオスヘルム,Heaume Cephalos
24,ガレオスキャップ,Casquette Cephalos
25,レイアヘルム,Heaume Rathian
26,レイアキャップ,Casquette Rathian
27,フルフルヘルム,Heaume Khezu
28,フルフルキャップ,Casquette Khezu
29,レウスヘルム,Heaume Rathalos
30,レウスキャップ,Casquette Rathalos
31,ガノスヘルム,Heaume Plesioth
32,ガノスキャップ,Casquette Plesioth
33,キングロブスタヘルム,
34,バサルヘルム,Heaume Basarios
35,バサルキャップ,Casquette Basarios
36,ディアブロヘルム,Heaume Diablos
37,ディアブロキャップ,Casquette Diablos
38,モノブロスヘルム,Heaume Monoblos
39,モノブロスキャップ,Casquette Monoblos
40,グラビドヘルム,Heaume Gravios
41,グラビドキャップ,Casquette Gravios
42,クロオビヘルム,
43,モスフェイク,
44,アイルーフェイク,
45,混沌のパオ,
46,メルホアフロール,
47,マカルパフード,
48,ビストロキャップ,
49,ランポスフェイク,
50,ゲネポスフェイク,
51,イーオスフェイク,
52,ブルファンゴフェイク,
53,レッドピアス,
54,ブルーピアス,
55,イエローピアス,
56,ブラックピアス,
57,忍の面・陽,
58,忍の面・陰,
59,ガーディアンヘルム,Heaume Gardien
60,ガーディアンマスク,Masque Gardien
61,ヘルパーフード,
62,ヒーラーグラス,
63,スカルフェイス,
64,ガルルガヘルム,Heaume Garuga
65,ガルルガキャップ,Casquette Garuga
66,ガルルガフェイク,
67,暁丸【兜】,
68,曙丸【烏帽子】,
69,凛【鉢金】,
70,艶【鉢金】,
71,ドラゴンヘッド,
72,ドラゴンフェイス,
73,レザーライトＵヘルム,Heaume Cuir U
74,チェーンＵヘルム,Heaume Chainmail U
75,ハンターＵヘルム,Heaume Hunter's U
76,ハンターＵキャップ,Casquette Hunter's U
77,ボーンＵヘルム,Heaume Os U
78,ボーンＵキャップ,Casquette Os U
79,ギアノスヘルム,Heaume Giaprey
80,ギアノスキャップ,Casquette Giaprey
81,バトルＵヘルム,Heaume Bataille U
82,バトルＵキャップ,Casquette Bataille U
83,ランゴＵヘルム,Heaume Vespoid U
84,ランゴＵキャップ,Casquette Vespoid U
85,タロスＵヘルム,Heaume Hornetaur U
86,タロスＵキャップ,Casquette Hornetaur U
87,ハイメタＵヘルム,
88,ハイメタＵキャップ,
89,ゲネポスＵヘルム,Heaume Genprey U
90,ゲネポスＵキャップ,Casquette Genprey U
91,イーオスＵヘルム,Heaume Ioprey U
92,イーオスＵキャップ,Casquette Ioprey U
93,ゲリョスＵヘルム,Heaume Gypceros U
94,ゲリョスＵキャップ,Casquette Gypceros U
95,ガレオスＵヘルム,Heaume Cephalos U
96,ガレオスＵキャップ,Casquette Cephalos U
97,リオハートヘルム,Heaume Rath
98,リオハートキャップ,Casquette Rath
99,フルフルＵヘルム,Heaume Khezu U
100,フルフルＵキャップ,Casquette Khezu U
101,リオソウルヘルム,Heaume Rath
102,リオソウルキャップ,Casquette Rath
103,ガノスＵヘルム,Heaume Plesioth U
104,ガノスＵキャップ,Casquette Plesioth U
105,バサルＵヘルム,Heaume Basarios U
106,バサルＵキャップ,Casquette Basarios U
107,ディアブロＵヘルム,Heaume Diablos U
108,ディアブロＵキャップ,Casquette Diablos U
109,モノデビルヘルム,Heaume Monodevil
110,モノデビルキャップ,Casquette Monodevil
111,グラビドＵヘルム,Heaume Gravios U
112,グラビドＵキャップ,Casquette Gravios U
113,忍の面・空,
114,忍の面・海,
115,ガーディアンＵヘルム,Heaume Gardien U
116,ガーディアンＵマスク,Masque Gardien U
117,ヘルパーＵフード,
118,ヒーラーＵベレー,
119,暁丸・皇【兜】,
120,曙丸・皇【烏帽子】,
121,凛・皇【鉢金】,
122,艶・皇【鉢金】,
123,ミラバルカンヘッド,Coiffe Fatalis
124,ミラバルカンフェイス,
125,ゴールドルナヘルム,
126,ゴールドルナキャップ,
127,シルバーソルヘルム,
128,シルバーソルキャップ,
129,レザーライトＳヘルム,Heaume Cuir S
130,チェーンＳヘルム,Heaume Chainmail S
131,ハンターＳヘルム,Heaume Hunter's S
132,ハンターＳキャップ,Casquette Hunter's S
133,ボーンＳヘルム,Heaume Os S
134,ボーンＳキャップ,Casquette Os S
135,ランポスＳヘルム,Heaume Velociprey S
136,ランポスＳキャップ,Casquette Velociprey S
137,バトルＳヘルム,Heaume Bataille S
138,バトルＳキャップ,Casquette Bataille S
139,ランゴＳヘルム,Heaume Vespoid S
140,ランゴＳキャップ,Casquette Vespoid S
141,タロスＳヘルム,Heaume Hornetaur S
142,タロスＳキャップ,Casquette Hornetaur S
143,ハイメタＳヘルム,
144,ハイメタＳキャップ,
145,ゲネポスＳヘルム,Heaume Genprey S
146,ゲネポスＳキャップ,Casquette Genprey S
147,クックＳヘルム,Heaume Kut-Ku S
148,クックＳキャップ,Casquette Kut-Ku S
