index,source,target
0,装備無し,
1,グリーンジャージー,
2,ブルージャージー,
3,ハンターグリーヴ,Grèves Hunter's
4,ハンターレギンス,Jambières Hunter's
5,ボーングリーヴ,Grèves Os
6,ボーンレギンス,Jambières Os
7,ランポスグリーヴ,Grèves Velociprey
8,ランポスレギンス,Jambières Velociprey
9,バトルグリーヴ,Grèves Bataille
10,バトルレギンス,Jambières Bataille
11,シルバーメタルブーツ,Bottes Métal argenté
12,ランゴグリーヴ,Grèves Vespoid
13,ランゴレギンス,Jambières Vespoid
14,タロスグリーヴ,Grèves Hornetaur
15,タロスレギンス,Jambières Hornetaur
16,ハイメタグリーヴ,
17,ハイメタレギンス,
18,ダークメタルブーツ,
19,ゲネポスグリーヴ,Grèves Genprey
20,ゲネポスレギンス,Jambières Genprey
21,ピンクメタルブーツ,Bottes Métal rose
22,クロムメタルブーツ,
23,イーオスグリーヴ,Grèves Ioprey
24,イーオスレギンス,Jambières Ioprey
25,ゲリョスグリーヴ,Grèves Gypceros
26,ゲリョスレギンス,Jambières Gypceros
27,ガレオスグリーヴ,Grèves Cephalos
28,ガレオスレギンス,Jambières Cephalos
29,レイアグリーヴ,Grèves Rathian
30,レイアレギンス,Jambières Rathian
31,フルフルグリーヴ,Grèves Khezu
32,フルフルレギンス,Jambières Khezu
33,レウスグリーヴ,Grèves Rathalos
34,レウスレギンス,Jambières Rathalos
35,ガノスグリーヴ,Grèves Plesioth
36,ガノスレギンス,Jambières Plesioth
37,バサルグリーヴ,Grèves Basarios
38,バサルレギンス,Jambières Basarios
39,ディアブログリーヴ,Grèves Diablos
40,ディアブロレギンス,Jambières Diablos
41,モノブロスグリーヴ,Grèves Monoblos
42,モノブロスレギンス,Jambières Monoblos
43,グラビドグリーヴ,Grèves Gravios
44,グラビドレギンス,Jambières Gravios
45,クロオビグリーヴ,
46,モスフット,Chausses Mosswine
47,ランポスーツフット,
48,ゲネポスーツフット,
49,イーオスーツフット,
50,忍の足袋・陽,
51,忍の足袋・陰,
52,ガーディアンブーツ,Bottes Gardien
53,ガーディアンフット,Chausses Gardien
54,ヘルパーソックス,
55,ヒーラーソックス,
56,ガルルガグリーヴ,Grèves Garuga
57,ガルルガレギンス,Jambières Garuga
58,暁丸【具足】,
59,曙丸【具足】,
60,凛【袴】,
61,艶【袴】,
62,紅凛【袴】,
63,紅艶【袴】,
64,ドラゴンフット,
65,ドラゴンレグス,
66,クリームジャージー,
67,コーヒージャージー,
68,ハンターＵグリーヴ,Grèves Hunter's U
69,ハンターＵレギンス,Jambières Hunter's U
70,ボーンＵグリーヴ,Grèves Os U
71,ボーンＵレギンス,Jambières Os U
72,ギアノスグリーヴ,Grèves Giaprey
73,ギアノスレギンス,Jambières Giaprey
74,バトルＵグリーヴ,Grèves Bataille U
75,バトルＵレギンス,Jambières Bataille U
76,ランゴＵグリーヴ,Grèves Vespoid U
77,ランゴＵレギンス,Jambières Vespoid U
78,タロスＵグリーヴ,Grèves Hornetaur U
79,タロスＵレギンス,Jambières Hornetaur U
80,ハイメタＵグリーヴ,
81,ハイメタＵレギンス,
82,ゲネポスＵグリーヴ,Grèves Genprey U
83,ゲネポスＵレギンス,Jambières Genprey U
84,イーオスＵグリーヴ,Grèves Ioprey U
85,イーオスＵレギンス,Jambières Ioprey U
86,ゲリョスＵグリーヴ,Grèves Gypceros U
87,ゲリョスＵレギンス,Jambières Gypceros U
88,ガレオスＵグリーヴ,Grèves Cephalos U
89,ガレオスＵレギンス,Jambières Cephalos U
90,リオハートグリーヴ,Grèves Rath
91,リオハートレギンス,Jambières Rath
92,フルフルＵグリーヴ,Grèves Khezu U
93,フルフルＵレギンス,Jambières Khezu U
94,リオソウルグリーヴ,Grèves Rath
95,リオソウルレギンス,Jambières Rath
96,ガノスＵグリーヴ,Grèves Plesioth U
97,ガノスＵレギンス,Jambières Plesioth U
98,バサルＵグリーヴ,Grèves Basarios U
99,バサルＵレギンス,Jambières Basarios U
100,ディアブロＵグリーヴ,Grèves Diablos U
101,ディアブロＵレギンス,Jambières Diablos U
102,モノデビルグリーヴ,Grèves Monodevil
103,モノデビルレギンス,Jambières Monodevil
104,グラビドＵグリーヴ,Grèves Gravios U
105,グラビドＵレギンス,Jambières Gravios U
106,忍の足袋・空,
107,忍の足袋・海,
108,ガーディアンＵブーツ,Bottes Gardien U
109,ガーディアンＵフット,Chausses Gardien U
110,ヘルパーＵソックス,
111,ヒーラーＵソックス,
112,暁丸・皇【具足】,
113,曙丸・皇【具足】,
114,凛・皇【袴】,
115,艶・皇【袴】,
116,ミラバルカンフット,Chausses Fatalis
117,ミラバルカンレグス,
118,ゴールドルナグリーヴ,
119,ゴールドルナレギンス,
120,シルバーソルグリーヴ,
121,シルバーソルレギンス,
122,グリーンＳジャージー,
123,ブルーＳジャージー,
124,ハンターＳグリーヴ,Grèves Hunter's S
125,ハンターＳレギンス,Jambières Hunter's S
126,ボーンＳグリーヴ,Grèves Os S
127,ボーンＳレギンス,Jambières Os S
128,ランポスＳグリーヴ,Grèves Velociprey S
129,ランポスＳレギンス,Jambières Velociprey S
130,バトルＳグリーヴ,Grèves Bataille S
131,バトルＳレギンス,Jambières Bataille S
132,ランゴＳグリーヴ,Grèves Vespoid S
133,ランゴＳレギンス,Jambières Vespoid S
134,タロスＳグリーヴ,Grèves Hornetaur S
135,タロスＳレギンス,Jambières Hornetaur S
136,ハイメタＳグリーヴ,
137,ハイメタＳレギンス,
138,ゲネポスＳグリーヴ,Grèves Genprey S
139,ゲネポスＳレギンス,Jambières Genprey S
140,クックＳグリーヴ,Grèves Kut-Ku S
141,クックＳレギンス,Jambières Kut-Ku S
142,イーオスＳグリーヴ,Grèves Ioprey S
143,イーオスＳレギンス,Jambières Ioprey S
144,ゲリョスＳグリーヴ,Grèves Gypceros S
145,ゲリョスＳレギンス,Jambières Gypceros S
146,ガレオスＳグリーヴ,Grèves Cephalos S
147,ガレオスＳレギンス,Jambières Cephalos S
148,レイアＳグリーヴ,Grèves Rathian S
149,レイアＳレギンス,Jambières Rathian S
150,フルフルＳグリーヴ,Grèves Khezu S
151,フルフルＳレギンス,Jambières Khezu S
152,レウスＳグリーヴ,Grèves Rathalos S
153,レウスＳレギンス,Jambières Rathalos S
154,ガノスＳグリーヴ,Grèves Plesioth S
155,ガノスＳレギンス,Jambières Plesioth S
156,バサルＳグリーヴ,Grèves Basarios S
157,バサルＳレギンス,Jambières Basarios S
158,ディアブロＳグリーヴ,Grèves Diablos S
159,ディアブロＳレギンス,Jambières Diablos S
160,モノブロスＳグリーヴ,Grèves Monoblos S
161,モノブロスＳレギンス,Jambières Monoblos S
162,グラビドＳグリーヴ,Grèves Gravios S
163,グラビドＳレギンス,Jambières Gravios S
164,忍の足袋・天,
165,忍の足袋・地,
166,ギルドガードブーツ紅,Bottes Guilde cramoisies
167,ギルドガードタイツ紅,
168,ギルドガードブーツ紅,Bottes Guilde cramoisies
169,ギルドガードタイツ紅,
170,暁丸・覇【具足】,
171,曙丸・覇【具足】,
172,凛・覇【袴】,
173,艶・覇【袴】,
174,ドラゴンＳフット,
175,ドラゴンＳレグス,
176,ザザミグリーヴ,Grèves Hermitaur
177,ザザミレギンス,Jambières Hermitaur
178,ザザミＵグリーヴ,Grèves Hermitaur U
179,ザザミＵレギンス,Jambières Hermitaur U
180,ザザミＳグリーヴ,Grèves Hermitaur S
181,ザザミＳレギンス,Jambières Hermitaur S
182,コンガグリーヴ,Grèves Conga
183,コンガレギンス,Jambières Conga
184,コンガＵグリーヴ,Grèves Conga U
185,コンガＵレギンス,Jambières Conga U
186,コンガＳグリーヴ,Grèves Conga S
187,コンガＳレギンス,Jambières Conga S
188,ブランゴグリーヴ,Grèves Blango
189,ブランゴレギンス,Jambières Blango
190,ブランゴＵグリーヴ,Grèves Blango U
191,ブランゴＵレギンス,Jambières Blango U
192,ブランゴＳグリーヴ,Grèves Blango S
193,ブランゴＳレギンス,Jambières Blango S
194,ギザミグリーヴ,Grèves Ceanataur
195,ギザミレギンス,Jambières Ceanataur
196,ギザミＵグリーヴ,Grèves Ceanataur U
197,ギザミＵレギンス,Jambières Ceanataur U
198,ギザミＳグリーヴ,Grèves Ceanataur S
199,ギザミＳレギンス,Jambières Ceanataur S
200,キリンレガース,
201,キリンブーツ,Bottes Kirin
202,キリンＳレガース,
203,キリンＳブーツ,Bottes Kirin S
204,クシャナペイル,
205,クシャナハディ,
206,ミヅハ【具足】,
207,トヨタマ【具足】,
208,エンプレスグリーヴ,Grèves Impératrice
209,エンプレスレギンス,Jambières Impératrice
210,金剛【具足】,
211,不動【具足】,
212,カイザーグリーヴ,
213,カイザーレギンス,
214,夜叉【御足】,
215,修羅【御足】,
216,金色ノ袴,
217,黒子ノ足袋,
218,ミラルーツフット,Chausses Fatalis
219,ミラルーツレギンス,Jambières Fatalis
220,クロオビＳグリーヴ,
221,ギアノスーツフット,
222,ガブラスーツフット,
223,ギルドナイトブーツ,Bottes Guilde
224,ギルドナイトタイツ,
225,メイドストッキング,
226,プライベートタイツ,
227,ギルドガードブーツ蒼,Bottes Guilde azur
228,ギルドガードタイツ蒼,
229,ギルドガードブーツ蒼,Bottes Guilde azur
230,ギルドガードタイツ蒼,
231,Ｋ・ロブスタグリーヴ,
232,Ｋ・ロブスタレギンス,
233,Ｆブーツ00,
234,Ｆブーツ01,
235,ブレイドメタルブーツ,
236,クックグリーヴ,Grèves Kut-Ku
237,クックレギンス,Jambières Kut-Ku
238,クックＵグリーヴ,Grèves Kut-Ku U
239,クックＵレギンス,Jambières Kut-Ku U
240,ヒプノグリーヴ,Grèves Hypnoc
241,ヒプノレギンス,Jambières Hypnoc
242,ヒプノＵグリーヴ,Grèves Hypnoc U
243,ヒプノＵレギンス,Jambières Hypnoc U
244,ラヴァグリーヴ,Grèves Lavasioth
245,ラヴァレギンス,Jambières Lavasioth
246,ラヴァＳグリーヴ,Grèves Lavasioth S
247,ラヴァＳレギンス,Jambières Lavasioth S
248,ギアノスＵグリーヴ,Grèves Giaprey U
249,ギアノスＵレギンス,Jambières Giaprey U
250,しろねこ服ブーツ,
251,くろねこ服ブーツ,
252,きんねこ服ブーツ,
253,ゴシックグリーヴ,Grèves Gothic
254,ゴシックＦグリーヴ,Grèves Gothic F
255,ベイルディバイダー,
256,コムラドブーツ【猩】,Bottes Camarade [猩]
