index,source,target
0,装備無し,
1,レザーライトベルト,Ceinture Cuir
2,スキンライトベルト,
3,チェーンライトベルト,Ceinture Chainmail
4,アイアンベルト,Ceinture Fer
5,ハンターフォールド,Tassettes Hunter's
6,ハンターコート,Manteau Hunter's
7,ボーンフォールド,Tassettes Os
8,ボーンコート,Manteau Os
9,ランポスフォールド,Tassettes Velociprey
10,ランポスコート,Manteau Velociprey
11,バトルフォールド,Tassettes Bataille
12,バトルコート,Manteau Bataille
13,ハイドベルト,Ceinture Peau
14,ランゴフォールド,Tassettes Vespoid
15,ランゴコート,Manteau Vespoid
16,タロスフォールド,Tassettes Hornetaur
17,タロスコート,Manteau Hornetaur
18,ハイメタフォールド,
19,ハイメタコート,
20,ゲネポスフォールド,Tassettes Genprey
21,ゲネポスコート,Manteau Genprey
22,クロムメタルコイル,
23,クックフォールド,Tassettes Kut-Ku
24,クックコート,Manteau Kut-Ku
25,イーオスフォールド,Tassettes Ioprey
26,イーオスコート,Manteau Ioprey
27,ゲリョスフォールド,Tassettes Gypceros
28,ゲリョスコート,Manteau Gypceros
29,ガレオスフォールド,Tassettes Cephalos
30,ガレオスコート,Manteau Cephalos
31,スティールベルト,Ceinture Acier
32,レイアフォールド,Tassettes Rathian
33,レイアコート,Manteau Rathian
34,フルフルフォールド,Tassettes Khezu
35,フルフルコート,Manteau Khezu
36,レウスフォールド,Tassettes Rathalos
37,レウスコート,Manteau Rathalos
38,バサルフォールド,Tassettes Basarios
39,バサルコート,Manteau Basarios
40,ディアブロコイル,Ceinturon Diablos
41,ディアブロコート,Manteau Diablos
42,モノブロスコイル,Ceinturon Monoblos
43,モノブロスコート,Manteau Monoblos
44,グラビドフォールド,Tassettes Gravios
45,グラビドコート,Manteau Gravios
46,クロオビフォールド,
47,モスヒップ,
48,メルホアオッハ,
49,ビストロエプロン,
50,忍の帯・陽,
51,忍の帯・陰,
52,ガーディアンコイル,Ceinturon Gardien
53,ガーディアンコート,Manteau Gardien
54,ヘルパースカート,
55,ヒーラーフリル,
56,ガルルガフォールド,Tassettes Garuga
57,ガルルガコート,Manteau Garuga
58,暁丸【腰当て】,
59,曙丸【腰当て】,
60,凛【腰当て】,
61,艶【腰当て】,
62,紅凛【腰当て】,
63,紅艶【腰当て】,
64,ドラゴンウイング,
65,ドラゴンテイル,
66,レザーライトＵベルト,Ceinture Cuir U
67,チェーンＵベルト,Ceinture Chainmail U
68,ハンターＵフォールド,Tassettes Hunter's U
69,ハンターＵコート,Manteau Hunter's U
70,ボーンＵフォールド,Tassettes Os U
71,ボーンＵコート,Manteau Os U
72,ギアノスフォールド,Tassettes Giaprey
73,ギアノスコート,Manteau Giaprey
74,バトルＵフォールド,Tassettes Bataille U
75,バトルＵコート,Manteau Bataille U
76,ランゴＵフォールド,Tassettes Vespoid U
77,ランゴＵコート,Manteau Vespoid U
78,タロスＵフォールド,Tassettes Hornetaur U
79,タロスＵコート,Manteau Hornetaur U
80,ハイメタＵフォールド,
