index,source,target
0,dummy,
1,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
2,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
3,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
4,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
5,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
6,"条件達成時に
{c05}≪調合屋≫{/c}
から入手可能。",
7,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
8,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
9,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
10,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
11,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
12,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
13,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
14,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
15,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
16,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
17,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
18,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
19,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
20,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
21,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
22,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
23,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
24,"{c05}≪ＨＲ1〜2≫{/c}の
{c05}≪ランゴスタ≫≪カンタロス≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。",
25,"{c05}≪ＨＲ3〜4≫{/c}の
{c05}≪ランゴスタ≫≪カンタロス≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。",
26,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
27,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
28,"{c05}≪調合≫{/c}や
{c05}≪Ｎポイント交換≫{/c}
から入手可能。",
29,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
30,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
31,dummy,
32,"{c05}≪総合ショップ≫
{/c}から入手可能。","Achat :
{c05}Boutique générale{/c}."
33,"{c05}≪調合≫
{/c}することで入手可能。","S'obtient par
{c05}combinaison{/c}."
34,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
